max_num_sets,rel_coverage
1,0.07221542227662178
2,0.14320685434516525
3,0.2047123623011016
4,0.2652998776009792
5,0.3200734394124847
6,0.37239902080783355
7,0.4121787025703794
8,0.45165238678090575
9,0.48561811505507957
10,0.5189718482252142
11,0.5517135862913096
12,0.5807833537331701
13,0.6089351285189718
14,0.6343329253365974
15,0.6594247246022031
16,0.6829865361077111
17,0.7062423500611995
18,0.7291921664626683
19,0.7515299877600979
20,0.7729498164014688
21,0.7928396572827417
22,0.8102815177478581
23,0.8271113831089352
24,0.8436352509179926
25,0.8555691554467564
26,0.8675030599755202
27,0.8788249694002448
28,0.8895348837209303
29,0.8993268053855569
30,0.908812729498164
31,0.9176866585067319
32,0.9247246022031824
33,0.9317625458996328
34,0.9381884944920441
35,0.9446144430844553
36,0.9510403916768666
37,0.9562423500611995
38,0.9611383108935129
39,0.9660342717258262
40,0.9706242350061199
41,0.9746022031823746
42,0.9785801713586292
43,0.9822521419828641
44,0.9856181150550796
45,0.9883720930232558
46,0.9908200734394125
47,0.9932680538555692
48,0.9951040391676866
49,0.9966340269277846
50,0.9978580171358629
51,0.9987760097919217
52,0.9993880048959608
53,0.9996940024479805
